Nr indeksu,Nr pary,Wariant 1,Wariant 2,Grupa informacji preferencyjnej
150243,1,10,21,1
162961,2,12,21,2
141142,3,23,25,3
148173,4,3,26,4
147963,5,14,25,1
148082,6,10,16,2
148119,7,8,25,3
148074,8,5,16,4
148171,9,0,11,1
148207,10,3,22,2
162954,11,13,20,3
148117,12,0,4,4
148240,13,13,18,1
148121,14,10,23,2
148144,15,3,17,3
147481,16,11,14,4
143785,17,2,19,1
147511,18,13,16,2
148148,19,10,17,3
148142,20,2,25,4
147073,21,11,21,1
148146,22,0,15,2
143057,23,9,13,3
148239,24,5,7,4
145261,25,6,20,1
141300,26,1,13,2
162939,27,12,17,3
148180,28,13,25,4
148101,29,12,19,1
148147,30,4,9,2
145355,31,5,18,3
148510,32,11,25,4
148141,33,2,26,1
148149,34,11,18,2
148236,35,14,22,3
148140,36,7,8,4